topic,covariate,estimate,se,pval,ci_lo,ci_hi,sig
10,left,0.07332512743981227,0.04616235894915692,0.11377142192587603,-0.017153096100535295,0.16380335098015986,FALSE
10,lok_num,-0.03957626815367242,0.020623224706047678,0.05640606455879346,-0.07999778857752587,8.45252270181028e-4,FALSE
11,(Intercept),0.07823432108060455,0.1781611119422115,0.661047764587633,-0.27096145832612994,0.4274301004873391,FALSE
11,bjp,0.027767727277918715,0.017683188335862063,0.11792844967663624,-0.006891321860370926,0.062426776416208356,FALSE
11,inc,-0.0062665574519239105,0.015468209262599586,0.68581866958328,-0.0365842476066191,0.024051132702771278,FALSE
11,left,-0.008082646040727162,0.01773361272804063,0.6490418502238127,-0.0428405269876868,0.02667523490623247,FALSE
11,lok_num,-0.0043003020197634155,0.010833928055365769,0.6918429312056908,-0.025534801008280324,0.016934196968753493,FALSE
12,(Intercept),0.7368096629770672,0.350505330078036,0.0367929801033925,0.04981921602411654,1.423800109930018,TRUE
12,bjp,-0.03942241616047044,0.02882216991908833,0.1729155578812204,-0.09591386920188356,0.01706903688094269,FALSE
12,inc,-0.03153596371792488,0.030888174361379615,0.30850105296280167,-0.09207678546622892,0.029004858030379166,FALSE
12,left,-0.029908576335719604,0.03871367379913944,0.4406957364630022,-0.10578737698203292,0.0459702243105937,FALSE
12,lok_num,-0.0421430243916573,0.021064797023567287,0.04678378977986331,-0.08343002655784917,-8.560222254654151e-4,TRUE
13,(Intercept),-1.1669763045908028,0.3627316774001983,0.0015100704288533112,-1.8779303922951915,-0.4560222168864142,TRUE
13,bjp,0.09219304728916478,0.03990099396355745,0.021877719942842502,0.013987099120592178,0.17039899545773737,TRUE
13,inc,-0.03172783843262747,0.030436917736412186,0.2984786466017711,-0.09138419719599536,0.027928520330740413,FALSE
13,left,-0.01843180650741876,0.03489312413311912,0.5979211309454953,-0.08682232980833222,0.049958716793494715,FALSE
13,lok_num,0.07268099833462092,0.02211496187953315,0.001198006881672016,0.02933567305073595,0.1160263236185059,TRUE
14,(Intercept),-1.6790921653330206,0.4881694462050816,7.090496814606899e-4,-2.6359042798949806,-0.7222800507710607,TRUE
14,bjp,-0.028619449376449432,0.04280686018034888,0.5045397240980847,-0.11252089532993323,0.055281996577034365,FALSE
14,inc,-0.060843108674475746,0.04171787535082637,0.14628730884263139,-0.14261014436209543,0.02092392701314394,FALSE
14,left,0.008117602165860226,0.04875670232567445,0.867937955520549,-0.0874455343924617,0.10368073872418215,FALSE
14,lok_num,0.10626927967249994,0.029809845404071007,4.552685134071362e-4,0.04784198268052076,0.16469657666447912,TRUE
15,(Intercept),1.0265216394111225,0.3887296164565155,0.008926561830333494,0.26461159115635213,1.7884316876658928,TRUE
15,bjp,0.1281721484710377,0.043724131119528,0.0037675314938071646,0.042472851476762816,0.21387144546531256,TRUE
15,inc,-0.012307643828909047,0.033398987630006656,0.7128875982748022,-0.07776965958372209,0.053154371925904,FALSE
15,left,0.05937308234993793,0.04547880367565613,0.19321865779987651,-0.02976537285434809,0.14851153755422397,FALSE
15,lok_num,-0.06114302002648008,0.02345138840395146,0.009815895858776954,-0.10710774129822494,-0.015178298754735225,TRUE
16,(Intercept),1.6801590808435087,0.46056257330804967,3.370712350911787e-4,0.7774564371597313,2.582861724527286,TRUE
16,bjp,0.06889836073405317,0.04543795454272776,0.13101806311042322,-0.02016003016969324,0.1579567516377996,FALSE
16,inc,-0.0480608014868474,0.03726600089902773,0.1986549981993521,-0.12110216324894174,0.024980560275246942,FALSE
16,left,-0.04386253383549402,0.046295175663465755,0.34455100545894457,-0.1346010781358869,0.04687601046489886,FALSE
16,lok_num,-0.09866870417515605,0.02764712731081446,4.488616670898511e-4,-0.1528570737043524,-0.044480334645959706,TRUE
17,(Intercept),-2.3282455865831766,0.5312634765438493,1.8935195009779067e-5,-3.3695220006091215,-1.2869691725572319,TRUE
17,bjp,-0.06466164231822627,0.04861987601316572,0.18505189741555317,-0.15995659930403106,0.03063331466757853,FALSE
17,inc,-0.07689650335861238,0.04769139224373264,0.108456775777822,-0.17037163215632833,0.016578625439103586,FALSE
17,left,-0.06505455894886561,0.050284905007660086,0.19725442153340209,-0.16361297276387937,0.03350385486614815,FALSE
17,lok_num,0.1473032224520716,0.03252251325204488,1.0162372293271832e-5,0.08355909647806364,0.21104734842607958,TRUE
18,(Intercept),-0.24578492341243166,0.3448398349406765,0.47683060843470104,-0.9216709998961575,0.43010115307129426,FALSE
