doc,word,n,tf,idf,tf_idf
Supriya Sule,honda,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,hyundai,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,kirloskar,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,maximization,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,meticulously,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,modemize,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,morth,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,motorcycle,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,mutation,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,paise,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,pedagogy,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,pfbrs,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,popsk,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,popsks,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,queries,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,questionnaires,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,reffered,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,regis,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,researched,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,residex,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,revailing,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,roving,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,rvhether,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,scooter,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,secretarylevel,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,shtpplng,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,simplifies,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,spends,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,tonnage,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,toyota,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,unknowingly,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,vayoshri,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,walking,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,weights,1,2.151462994836489e-4,0.6931471805599453,1.4912805089499685e-4
Supriya Sule,aadhaar,3,6.454388984509467e-4,0,0
Supriya Sule,abhiyan,1,2.151462994836489e-4,0,0
Supriya Sule,abled,5,0.0010757314974182443,0,0
Supriya Sule,abolition,1,2.151462994836489e-4,0,0
Supriya Sule,abroad,1,2.151462994836489e-4,0,0
Supriya Sule,abuse,2,4.302925989672978e-4,0,0
Supriya Sule,accelerated,1,2.151462994836489e-4,0,0
Supriya Sule,acceptance,1,2.151462994836489e-4,0,0
Supriya Sule,accepted,1,2.151462994836489e-4,0,0
Supriya Sule,access,4,8.605851979345956e-4,0,0
Supriya Sule,accessibility,1,2.151462994836489e-4,0,0
Supriya Sule,accessible,1,2.151462994836489e-4,0,0
Supriya Sule,accident,6,0.0012908777969018934,0,0
Supriya Sule,accidents,4,8.605851979345956e-4,0,0
Supriya Sule,accord,1,2.151462994836489e-4,0,0
Supriya Sule,account,4,8.605851979345956e-4,0,0
Supriya Sule,accountability,1,2.151462994836489e-4,0,0
Supriya Sule,accrue,1,2.151462994836489e-4,0,0
Supriya Sule,accrued,1,2.151462994836489e-4,0,0
Supriya Sule,accused,1,2.151462994836489e-4,0,0
Supriya Sule,achieve,6,0.0012908777969018934,0,0
Supriya Sule,achieved,7,0.0015060240963855422,0,0
Supriya Sule,achievement,2,4.302925989672978e-4,0,0
Supriya Sule,achievements,4,8.605851979345956e-4,0,0
Supriya Sule,achieving,2,4.302925989672978e-4,0,0
Supriya Sule,across,11,0.0023666092943201377,0,0
Supriya Sule,action,15,0.003227194492254733,0,0
Supriya Sule,activities,3,6.454388984509467e-4,0,0
Supriya Sule,activity,1,2.151462994836489e-4,0,0
Supriya Sule,actual,1,2.151462994836489e-4,0,0
Supriya Sule,actually,1,2.151462994836489e-4,0,0
Supriya Sule,additional,2,4.302925989672978e-4,0,0
Supriya Sule,address,8,0.0017211703958691911,0,0
Supriya Sule,adequate,6,0.0012908777969018934,0,0
Supriya Sule,adhalrao,1,2.151462994836489e-4,0,0
Supriya Sule,administrations,1,2.151462994836489e-4,0,0
Supriya Sule,administrative,1,2.151462994836489e-4,0,0
Supriya Sule,admission,1,2.151462994836489e-4,0,0
Supriya Sule,adopted,3,6.454388984509467e-4,0,0
Supriya Sule,adopting,1,2.151462994836489e-4,0,0
Supriya Sule,adoption,3,6.454388984509467e-4,0,0
Supriya Sule,advance,1,2.151462994836489e-4,0,0
Supriya Sule,advanced,3,6.454388984509467e-4,0,0
Supriya Sule,adversely,1,2.151462994836489e-4,0,0
Supriya Sule,advisory,1,2.151462994836489e-4,0,0
Supriya Sule,affairs,19,0.004087779690189329,0,0
Supriya Sule,affected,4,8.605851979345956e-4,0,0
Supriya Sule,affecting,1,2.151462994836489e-4,0,0
Supriya Sule,affluent,1,2.151462994836489e-4,0,0
Supriya Sule,affordability,2,4.302925989672978e-4,0,0
Supriya Sule,agencies,3,6.454388984509467e-4,0,0
Supriya Sule,agency,1,2.151462994836489e-4,0,0
Supriya Sule,agreed,1,2.151462994836489e-4,0,0
Supriya Sule,agreement,1,2.151462994836489e-4,0,0
Supriya Sule,agricultural,9,0.00193631669535284,0,0
Supriya Sule,agriculture,13,0.0027969018932874354,0,0
Supriya Sule,aiims,3,6.454388984509467e-4,0,0
Supriya Sule,aiming,1,2.151462994836489e-4,0,0
Supriya Sule,airport,4,8.605851979345956e-4,0,0
Supriya Sule,airports,3,6.454388984509467e-4,0,0
Supriya Sule,alleviation,3,6.454388984509467e-4,0,0
Supriya Sule,allocated,10,0.0021514629948364886,0,0
Supriya Sule,allocation,3,6.454388984509467e-4,0,0
Supriya Sule,allotment,3,6.454388984509467e-4,0,0
Supriya Sule,allow,2,4.302925989672978e-4,0,0
Supriya Sule,along,56,0.012048192771084338,0,0
Supriya Sule,alternative,5,0.0010757314974182443,0,0
Supriya Sule,amendment,1,2.151462994836489e-4,0,0
Supriya Sule,amendments,1,2.151462994836489e-4,0,0
Supriya Sule,america,1,2.151462994836489e-4,0,0
Supriya Sule,among,9,0.00193631669535284,0,0
Supriya Sule,amount,6,0.0012908777969018934,0,0
Supriya Sule,analysis,3,6.454388984509467e-4,0,0
Supriya Sule,andhra,1,2.151462994836489e-4,0,0
Supriya Sule,angle,1,2.151462994836489e-4,0,0
Supriya Sule,annexed,1,2.151462994836489e-4,0,0
Supriya Sule,annexure,13,0.0027969018932874354,0,0
Supriya Sule,announcement,1,2.151462994836489e-4,0,0
Supriya Sule,annual,5,0.0010757314974182443,0,0
Supriya Sule,answer,9,0.00193631669535284,0,0
Supriya Sule,answered,15,0.003227194492254733,0,0
Supriya Sule,appealed,1,2.151462994836489e-4,0,0
Supriya Sule,appellate,1,2.151462994836489e-4,0,0
Supriya Sule,applicant,1,2.151462994836489e-4,0,0
Supriya Sule,applicants,4,8.605851979345956e-4,0,0
Supriya Sule,application,5,0.0010757314974182443,0,0
Supriya Sule,applications,9,0.00193631669535284,0,0
Supriya Sule,apply,1,2.151462994836489e-4,0,0
Supriya Sule,applying,2,4.302925989672978e-4,0,0
Supriya Sule,appoint,1,2.151462994836489e-4,0,0
Supriya Sule,appointed,1,2.151462994836489e-4,0,0
Supriya Sule,appointment,1,2.151462994836489e-4,0,0
Supriya Sule,apprehensions,1,2.151462994836489e-4,0,0
Supriya Sule,approach,1,2.151462994836489e-4,0,0
Supriya Sule,appropriate,2,4.302925989672978e-4,0,0
Supriya Sule,approval,5,0.0010757314974182443,0,0
Supriya Sule,approvals,2,4.302925989672978e-4,0,0
Supriya Sule,approved,5,0.0010757314974182443,0,0
Supriya Sule,arbitration,1,2.151462994836489e-4,0,0
Supriya Sule,areas,13,0.0027969018932874354,0,0
Supriya Sule,arong,1,2.151462994836489e-4,0,0
Supriya Sule,arrested,1,2.151462994836489e-4,0,0
Supriya Sule,arrivals,2,4.302925989672978e-4,0,0
Supriya Sule,arrive,2,4.302925989672978e-4,0,0
Supriya Sule,arrived,1,2.151462994836489e-4,0,0
Supriya Sule,artificial,1,2.151462994836489e-4,0,0
Supriya Sule,ascertain,3,6.454388984509467e-4,0,0
Supriya Sule,aspirational,1,2.151462994836489e-4,0,0
Supriya Sule,assam,1,2.151462994836489e-4,0,0
Supriya Sule,assess,1,2.151462994836489e-4,0,0
Supriya Sule,assessed,5,0.0010757314974182443,0,0
Supriya Sule,assessment,1,2.151462994836489e-4,0,0
Supriya Sule,assist,2,4.302925989672978e-4,0,0
Supriya Sule,assistance,11,0.0023666092943201377,0,0
Supriya Sule,assistive,1,2.151462994836489e-4,0,0
Supriya Sule,assured,1,2.151462994836489e-4,0,0
Supriya Sule,attract,1,2.151462994836489e-4,0,0
Supriya Sule,auction,1,2.151462994836489e-4,0,0
Supriya Sule,audit,1,2.151462994836489e-4,0,0
Supriya Sule,augment,1,2.151462994836489e-4,0,0
Supriya Sule,augmentation,1,2.151462994836489e-4,0,0
Supriya Sule,augmented,1,2.151462994836489e-4,0,0
Supriya Sule,august,2,4.302925989672978e-4,0,0
Supriya Sule,authenticated,1,2.151462994836489e-4,0,0
Supriya Sule,authorities,1,2.151462994836489e-4,0,0
Supriya Sule,authority,2,4.302925989672978e-4,0,0
Supriya Sule,automated,1,2.151462994836489e-4,0,0
Supriya Sule,automation,1,2.151462994836489e-4,0,0
Supriya Sule,automobile,3,6.454388984509467e-4,0,0
Supriya Sule,automotive,1,2.151462994836489e-4,0,0
Supriya Sule,avail,3,6.454388984509467e-4,0,0
Supriya Sule,availability,4,8.605851979345956e-4,0,0
Supriya Sule,available,8,0.0017211703958691911,0,0
Supriya Sule,average,3,6.454388984509467e-4,0,0
Supriya Sule,aviation,1,2.151462994836489e-4,0,0
Supriya Sule,awaas,1,2.151462994836489e-4,0,0
Supriya Sule,award,1,2.151462994836489e-4,0,0
Supriya Sule,awareness,5,0.0010757314974182443,0,0
Supriya Sule,backbone,1,2.151462994836489e-4,0,0
Supriya Sule,backward,1,2.151462994836489e-4,0,0
Supriya Sule,balance,1,2.151462994836489e-4,0,0
Supriya Sule,banks,9,0.00193631669535284,0,0
Supriya Sule,banned,1,2.151462994836489e-4,0,0
Supriya Sule,based,4,8.605851979345956e-4,0,0
Supriya Sule,bases,1,2.151462994836489e-4,0,0
Supriya Sule,basic,1,2.151462994836489e-4,0,0
Supriya Sule,basis,2,4.302925989672978e-4,0,0
Supriya Sule,bearing,1,2.151462994836489e-4,0,0
Supriya Sule,become,2,4.302925989672978e-4,0,0
Supriya Sule,becomes,1,2.151462994836489e-4,0,0
Supriya Sule,behind,3,6.454388984509467e-4,0,0
