mp,party,constituency,degree,strength,betweenness
KUNWAR DANISH ALI,INC,Amroha,4,4,0.002728931165149807
VIJAY KUMAR HANSDAK,Regional,Rajmahal (ST),14,17,0.0026535522319499107
CHANDRAKANT BHAURAO KHAIRE,Shiv Sena,Aurangabad,10,12,0.0026529393425066645
SAUGATA ROY,TMC,Dum Dum,12,14,0.002646063271779762
NANABHAU FALGUNRAO PATOLE,BJP,Bhandara–Gondiya,8,8,0.0026440485934636116
REBATI TRIPURA,BJP,Tripura East (ST),11,14,0.002641010903323123
SHRI ANTO ANTONY,INC,Pathanamthitta,3,3,0.0026270662531137396
PRATHAP SIMHA,BJP,Mysore,12,25,0.002607772048508539
TAPIR GAO,BJP,Arunachal East,5,5,0.002591885826580161
KULAMANI SAMAL,Regional,Jagatsinghpur (SC),5,5,0.002574049258987233
GOKARAJU GANGA RAJU,BJP,Narasapuram,8,8,0.00257029474925223
SUMALATHA AMBAREESH,BJP,Mandya,6,16,0.0025681583612266754
VINOD KUMAR SONKAR,BJP,Kaushambi (SC),16,32,0.0025628067687665066
LAXMAN GILUWA,BJP,Singhbhum (ST),17,27,0.0025600498028336325
