mp,party,constituency,degree,strength,betweenness
(DR.) RAM SHANKAR KATHERIA,BJP,Agra (SC),3,3,1.7331304408331743e-4
POONAM (MAHAJAN) VAJENDLA RAO,BJP,Mumbai North Central,2,2,1.6668392100716652e-4
TIRATH SINGH RAWAT,BJP,Garhwal,2,2,1.663968065607204e-4
ALOK KUMAR SUMAN,JDU,Gopalganj (SC),2,2,1.6351619348475166e-4
SHRI JASHUBHAI BHILUBHAI RATHVA,BJP,Chhota Udaipur (ST),2,2,1.5883824598615626e-4
SUNITA DUGGAL,BJP,Sirsa (SC),3,3,1.578995419875437e-4
JAYANT SINHA,BJP,Hazaribagh,2,2,1.5763375071406588e-4
PUSHPENDRA SINGH CHANDEL,BJP,Hamirpur,3,3,1.5288378470615783e-4
MAHENDRA NATH PANDEY,BJP,Chandauli,3,3,1.5131646418712648e-4
SHARDABEN ANILBHAI PATEL,BJP,Mahesana,4,10,1.5115473666851668e-4
KURUPPASSERY VARKEY THOMAS,INC,Ernakulam,5,6,1.5006573612306854e-4
BHAGIRATH PRASAD,BJP,Bhind (SC),3,3,1.4967752000752732e-4
SHRI CHAMALA KIRAN KUMAR REDDY,INC,Bhongir,3,4,1.477287842511306e-4
MOHAMMAD SALIM,Left,Raiganj,2,2,1.467338988956897e-4
SMT. KRITI DEVI DEBBARMAN,BJP,Tripura East (ST),3,3,1.4468777736504162e-4
RAMESWAR TELI,BJP,Dibrugarh,4,4,1.4381001677556308e-4
MALA ROY,TMC,Kolkata Dakshin,2,2,1.3862235616556268e-4
CHANDAN SINGH,Regional,Nawada,3,3,1.364856707560502e-4
SHRI RAJESH VERMA,Regional,Sitapur,6,12,1.3284201823545626e-4
"GURJEET SINGH,AUJLA",INC,Amritsar,2,2,1.324646930220558e-4
BHARTI PRAVIN PAWAR,BJP,Dindori (ST),3,3,1.3028561939605057e-4
HEMANT PATIL,Shiv Sena,Hingoli,5,7,1.264670022224272e-4
P. VELUSAMY,DMK,Dindigul,3,5,1.2423580198184163e-4
SUSHIL KUMAR RINKU,BJP,Jalandhar,2,2,1.222478225030757e-4
HARI NARAYAN RAJBHAR,BJP,Ghosi,2,2,1.1667301528981011e-4
ABDUL KHALEQUE,INC,Barpeta,3,3,1.1582422899345867e-4
SHRI MADHAVANENI RAGHUNANDAN RAO,BJP,Medak,4,4,1.1361596228175306e-4
SHRI YADUVEER WADIYAR,BJP,Mysore,2,2,1.0953170432919035e-4
ARUN KUMAR SAGAR,BJP,Shahjahanpur (SC),2,2,1.09385241131616e-4
SHRI DEVENDRA SINGH ALIAS BHOLE SINGH,BJP,Akbarpur,2,2,1.0886974131437416e-4
DULAL CHANDRA GOSWAMI,JDU,Katihar,2,2,1.0831813062755065e-4
CHHOTELAL,BJP,Robertsganj (SC),3,3,1.0660752351453639e-4
ANJU BALA,BJP,Misrikh (SC),7,15,1.0587369011253669e-4
JAGANNATH SARKAR,BJP,Ranaghat (SC),2,2,1.0571592897228232e-4
CHARANJEET SINGH RORI,Regional,Sirsa (SC),2,2,1.018464704997296e-4
DAYANIDHI MARAN,DMK,Chennai Central,2,2,1.008162861698017e-4
DEBASREE CHAUDHURI,BJP,Raiganj,2,2,9.99406700246155e-5
BALAK NATH,BJP,Alwar,5,7,9.513549959752705e-5
BHAGWANT MANN,AAP,Sangrur,4,4,9.480699149348032e-5
SHRI GAURAV GOGOI,INC,Kaliabor,2,2,9.151647157932076e-5
SHRI VISHNU DATT SHARMA,BJP,Raigarh (ST),2,2,8.986419500083771e-5
H. VASANTHAKUMAR,INC,Kanniyakumari,2,2,7.959213373162939e-5
RAM SWAROOP SHARMA,BJP,Kangra,2,2,7.610020015235917e-5
JASVANTSINH SUMANBHAI BHABHOR,BJP,Dahod (ST),2,2,7.429808293365243e-5
GANGASANDRA SIDDAPPA BASAVARAJ,BJP,Tumkur,2,2,7.338088283742098e-5
SHRI PRABHAKAR REDDY VEMIREDDY,TDP,Nellore,2,2,7.18203163936665e-5
PARBATBHAI SAVABHAI PATEL,BJP,Banaskantha,4,8,7.156403480484959e-5
MAULANA BADRUDDIN AJMAL,Regional,Dhubri,3,3,7.110051055242967e-5
PRATYUSHA RAJESHWARI SINGH,Regional,Kandhamal,3,3,7.070024127194003e-5
PRABHUBHAI NAGARBHAI VASAVA,BJP,Bharuch,2,2,6.368976574069482e-5
SATISH CHANDRA DUBEY,BJP,Valmiki Nagar,2,2,6.10967423386912e-5
SHRI PUTTA MAHESH KUMAR,TDP,Eluru,4,5,6.0914321501412495e-5
PRABHAS KUMAR SINGH,Regional,Bargarh,2,2,6.022817146619648e-5
PRATIMA BHOUMIK,BJP,Tripura West,4,5,5.951913888773685e-5
SUNIL KUMAR,JDU,Valmiki Nagar,2,2,5.6526881031175506e-5
SADHU SINGH,AAP,Faridkot (SC),3,3,5.521844030841815e-5
SANGEETA AZAD,BJP,Lalganj (SC),2,2,5.330033796614101e-5
DHARAM VIRA GANDHI,INC,Wayanad,2,2,5.227043316498322e-5
SHRI SUDHEER GUPTA,BJP,Mandsaur,3,9,5.13687784238463e-5
BHANU PRATAP SINGH VERMA,BJP,Jalaun (SC),2,2,5.1119720268493594e-5
UDIT RAJ,BJP,North West Delhi (SC),2,2,5.084519950458488e-5
BACHE GOWDA B.N.,BJP,Chikballapur,2,2,4.9111524646712635e-5
E. AHAMED,Regional,Malappuram,2,2,4.8966745983085225e-5
RAMEN DEKA,BJP,Mangaldoi,2,2,4.845283613214015e-5
GYANESHWAR PATIL,BJP,Khandwa,3,6,4.218821655622714e-5
SUDARSHAN BHAGAT,BJP,Lohardaga (ST),2,2,4.203035228784307e-5
SATISH KUMAR GAUTAM,BJP,Aligarh,2,2,4.101422023508627e-5
BASANTA KUMAR PANDA,BJP,Kalahandi,2,2,3.997815224441116e-5
DHANUSH M KUMAR,DMK,Tenkasi (SC),10,23,3.87375249635358e-5
SHRI YOGENDER CHANDOLIA,BJP,North West Delhi (SC),2,2,3.706217050440914e-5
SMT. SHAMBHAVI,Regional,Samastipur (SC),7,14,3.529382942834775e-5
MANOJ KISHORBHAI KOTAK,BJP,Mumbai North East,2,2,3.461443217334133e-5
POONAM MAHAJAN,BJP,Mumbai North Central,2,2,3.363538178007673e-5
KALYAN BANERJEE,TMC,Serampore,2,2,2.979170925309751e-5
KUNHALIKUTTY P.K.,Regional,Malappuram,2,2,2.9621722278763854e-5
SHARAD BANSODE,BJP,Solapur (SC),2,2,2.9292641774142107e-5
SHRI ANOOP PRADHAN VALMIKI,BJP,Hathras (SC),2,2,2.691268228977726e-5
ASHWINI KUMAR CHOUBEY,BJP,Buxar,2,2,2.53169549488063e-5
CHANDRA PRAKASH CHOUDHARY,Regional,Giridih,2,3,2.5282593999252962e-5
TARIQ ANWAR,NCP,Katihar,2,2,2.4373749861096893e-5
BHAGIRATH CHAUDHARY,BJP,Ajmer,2,2,2.1433459392738124e-5
DEEPENDER SINGH HOODA,INC,Rohtak,2,2,1.7508870982573566e-5
SHRI GAJENDRA SINGH PATEL,BJP,Khargone (ST),2,2,1.4385118572568692e-5
DHARAMBIR BHALERAM,BJP,Bhiwani–Mahendragarh,2,2,1.3190041355078615e-5
KAVITHA MALOTHU,Regional,Mahabubabad (ST),5,14,1.157538757047816e-5
SANJAY BHATIA,BJP,Karnal,2,3,9.215976893550717e-6
SHRI SANJAY HARIBHAU JADHAV,Shiv Sena,Parbhani,6,15,6.978715341145508e-6
GUMAN SINGH DAMOR,BJP,Ratlam (ST),2,3,5.565914384749181e-6
TALARI RANGAIAH,YSRCP,Anantapur,3,3,4.359522349068029e-6
RICHARD HAY,BJP,Anglo-Indian Community,4,9,2.203046022878425e-6
MITESH RAMESHBHAI (BAKABHAI) PATEL,BJP,Anand,3,9,1.058066700524801e-6
SHRI SANJAY DINA PATIL,Shiv Sena,Mumbai North East,2,10,0
SMT. SUPRIYA SULE,NCP,Baramati,4,10,0
BALASHOWRY VALLABBHANENI,Regional,Machilipatnam,3,8,0
RAJVEER (RAJU BHAIYA) SINGH,BJP,Etah,6,14,0
SHRI MOHITE PATIL DHAIRYASHEEL RAJSINH,NCP,Madha,4,7,0
CHHATAR SINGH DARBAR,BJP,Dhar (ST),1,2,0
DR. AMOL RAMSING KOLHE,NCP,Shirur,3,5,0
DR. T SUMATHY ALIAS THAMIZHACHI THANGAPANDIAN,DMK,Chennai South,3,4,0
K. SUBBARAYAN,Left,Tiruppur,2,3,0
"KUNHALIKUTTY, P.K.",Regional,Malappuram,1,2,0
PROF. VARSHA EKNATH GAIKWAD,INC,Mumbai North Central,7,19,0
SAKSHI JI SWAMI MAHARAJ,BJP,Unnao,1,2,0
SHRI G LAKSHMINARAYANA,TDP,Anantapur,1,2,0
SHRI NAVASKANI K,Regional,Ramanathapuram,3,4,0
ADHIKARI DIBYENDU,TMC,Tamluk,1,1,0
AGATHA K. SANGMA,Regional,Tura (ST),1,1,0
AJAY BHATT,BJP,Nainital–Udhamsingh Nagar,1,1,0
AJAY KUMAR MANDAL,JDU,Bhagalpur,2,2,0
AJAY TAMTA,BJP,Almora (SC),1,1,0
ANUMULA REVANTH REDDY,INC,Malkajgiri,1,1,0
ANUPAM HAZRA,TMC,Bolpur (SC),1,1,0
BIJOYA CHAKRAVARTY,BJP,Gauhati,1,1,0
BISHNU PADA RAY,BJP,Andaman and Nicobar Islands,1,1,0
DR. ALOK KUMAR SUMAN,JDU,Gopalganj (SC),1,1,0
DR. C M RAMESH,BJP,Anakapalli,1,1,0
DR. MALLU RAVI,INC,Nagarkurnool (SC),1,1,0
FRANCISCO COSME SARDINHA,INC,South Goa,1,1,0
GHANSHYAM SINGH LODHI,BJP,Rampur,1,1,0
GIRISH CHANDRA,BSP,Nagina (SC),1,1,0
HEMA MALINI,BJP,Mathura,1,1,0
KARTI P. CHIDAMBARAM,INC,Sivaganga,1,1,0
KESHAV PRASAD MAURYA,BJP,Phulpur,1,1,0
KM. SUDHA R,INC,Mayiladuthurai,1,1,0
KRISTAPPA NIMMALA,TDP,Hindupur,1,1,0
LALUBHAI BABUBHAI PATEL,BJP,Daman and Diu,1,1,0
MALOOK NAGAR,BSP,Bijnor,1,1,0
MANISH TEWARI,INC,Anandpur Sahib,2,2,0
MIMI CHAKRABORTY,TMC,Jadavpur,1,1,0
MOHAMMAD JAWED,INC,Kishanganj,2,3,0
MS IQRA CHOUDHARY,SP,Kairana,1,1,0
NAND KUMAR SINGH CHAUHAN,BJP,Kheda,1,1,0
NANDI YELLAIAH,INC,Nagarkurnool (SC),1,1,0
NARENDRA KUMAR,BJP,Jhunjhunu,2,2,0
NISITH PRAMANIK,BJP,Cooch Behar (SC),3,4,0
PALLAB LOCHAN DAS,BJP,Tezpur,1,1,0
PRAVEEN KUMAR NISHAD,BJP,Sant Kabir Nagar,1,1,0
RAHUL GANDHI,INC,Amethi,1,1,0
RAJDEEP ROY,BJP,Silchar,1,1,0
RAJESH PANDEY,BJP,Kushi Nagar,2,3,0
RAMESH CHAND BIND,BJP,Bhadohi,1,1,0
RENUKA BUTTA,YSRCP,Kurnool,1,1,0
S. VENKATESAN,Left,Madurai,1,1,0
SANJEEV KUMAR BALYAN,BJP,Muzaffarnagar,1,1,0
SARFARAZ ALAM,RJD,Araria,1,1,0
SHRI AMRA RAM,Left,Sikar,1,1,0
SHRI AMRINDER SINGH RAJA WARRING,INC,Ludhiana,1,1,0
SHRI BAIJAYANT PANDA,BJP,Kendrapara,1,1,0
SHRI BALRAM NAIK PORIKA,INC,Mahabubabad (ST),1,1,0
SHRI GADDIGOUDAR PARVATAGOUDA CHANDANAGOUDA,BJP,Bagalkot,1,1,0
SHRI JAGADISH SHETTAR,BJP,Belgaum,1,1,0
SHRI JAI PARKASH,INC,Hisar,2,2,0
SHRI JASWANTSINH SUMANBHAI BHABHOR,BJP,Dahod (ST),1,1,0
SHRI JYOTIRMAY SINGH MAHATO,BJP,Purulia,1,1,0
SHRI KALIPADA SAREN KHERWAL,TMC,Jhargram (ST),1,1,0
SHRI KODIKUNNIL SURESH,INC,Mavelikara (SC),1,1,0
SHRI KONDA VISHWESHWAR REDDY,BJP,Chevella,1,1,0
SHRI KULDEEP INDORA,INC,Ganganagar (SC),1,1,0
SHRI MALAIYARASAN D,DMK,Kallakurichi,1,1,0
SHRI NARESH GANPAT MHASKE,Shiv Sena,Thane,7,22,0
SHRI PRADEEP PUROHIT,BJP,Bargarh,1,1,0
SHRI RAHUL SINGH LODHI,BJP,Damoh,1,1,0
SHRI RAJEEV RAI,SP,Ghosi,1,1,0
SHRI RAJIV PRATAP RUDY,BJP,Saran,1,1,0
SHRI RAJMOHAN UNNITHAN,INC,Kasaragod,1,1,0
SHRI RAMESH AWASTHI,BJP,Kanpur,1,1,0
SHRI RAO RAJENDRA SINGH,BJP,Jaipur Rural,1,1,0
SHRI SANATAN PANDEY,SP,Ballia,3,3,0
SHRI SHAFI PARAMBIL,INC,Vatakara,1,1,0
SHRI SHER SINGH GHUBAYA,INC,Ferozepur,1,1,0
SHRI SHIVMANGAL SINGH TOMAR,BJP,Morena,1,1,0
SHRI SRIBHARAT MATHUKUMILLI,TDP,Visakhapatnam,1,1,0
SHRI SUNIL BOSE,INC,Chamarajanagar (SC),1,1,0
SHRI TATKARE SUNIL DATTATREY,NCP,Raigad,2,2,0
SHRI TRIVENDRA SINGH RAWAT,BJP,Haridwar,1,1,0
SHRI VISHWESHWAR HEGDE KAGERI,BJP,Uttara Kannada,1,1,0
SMT. BAG MITALI,TMC,Arambagh (SC),1,1,0
SMT. GENIBEN NAGAJI THAKOR,INC,Banaskantha,1,1,0
SMT. MALVIKA DEVI,BJP,Kalahandi,1,1,0
SMT. SANDHYA RAY,BJP,Bhind (SC),1,1,0
THIRU D M KATHIR ANAND,DMK,Vellore,3,4,0
THIRU DAYANIDHI MARAN,DMK,Chennai Central,1,1,0
DR. BYREDDY SHABARI,TDP,Nandyal,1,5,0
MOHAN MANDAVI,BJP,Kanker (ST),2,4,0
SHRI BHASKAR MURLIDHAR BHAGARE,NCP,Dindori (ST),2,3,0
SHRI PARBHUBHAI NAGARBHAI VASAVA,BJP,Bardoli (ST),1,2,0
ADV K. FRANCIS GEORGE,Regional,Kottayam,1,1,0
RAJ KUMAR SINGH,BJP,Arrah,1,1,0
SHRI RADHESHYAM RATHIYA,BJP,Raigarh (ST),1,1,0
SMT. SANGEETA KUMARI SINGH DEO,BJP,Bolangir,1,1,0
SHRI MADDILA GURUMOORTHY,YSRCP,Tirupati (SC),2,2,0
SHRI BHAJAN LAL JATAV,INC,Karauli–Dholpur (SC),1,1,0
SHRI MALVINDER SINGH KANG,AAP,Anandpur Sahib,1,1,0
SHRI RAJESH NARANBHAI CHUDASAMA,BJP,Junagadh,1,1,0
SAVITRI THAKUR,BJP,Dhar (ST),1,1,0
CHANDRANI MURMU,Regional,Keonjhar (ST),1,1,0
JADON CHANDRA SEN,BJP,Firozabad,1,1,0
SEETARAM AJMEERA NAIK,BJP,North Goa,1,1,0
DR. SHASHI THAROOR,INC,Thiruvananthapuram,1,1,0
RAVINDRA BABU PANDULA,TDP,Amalapuram (SC),1,1,0
MUKESH RAJPUT,BJP,Farrukhabad,1,1,0
RAJU BISTA,BJP,Darjeeling,1,1,0
SUGATA BOSE,TMC,Jadavpur,1,1,0
KAMLESH PASWAN,BJP,Bansgaon (SC),1,1,0
RAJ KUMAR SAINI,BJP,Kurukshetra,1,1,0
SANTOSH PANDEY,BJP,Rajnandgaon,1,1,0
P. RAVINDHRANATH,Independent,Theni,1,1,0
SHRI TANUJ PUNIA,INC,Barabanki (SC),1,1,0
SHRI VIJAY KUMAR HANSDAK,Regional,Rajmahal (ST),1,1,0
MS. PRANITI SUSHILKUMAR SHINDE,INC,Solapur (SC),1,1,0
SHRI ZIA UR REHMAN,SP,Sambhal,1,1,0
DR. RAJKUMAR SANGWAN,Regional,Baghpat,1,1,0
SHRI DEEPENDER SINGH HOODA,INC,Rohtak,1,1,0
SHRI MURARI LAL MEENA,INC,Dausa (ST),1,1,0
SHRI BRIJMOHAN AGRAWAL,BJP,Raipur,1,1,0
DR. BACHHAV SHOBHA DINESH,INC,Dhule,1,1,0
SHRI IMRAN MASOOD,INC,Saharanpur,1,1,0
SHRI VAMSI KRISHNA GADDAM,INC,Peddapalle (SC),1,1,0
DR. M K VISHNU PRASAD,INC,Arani,1,1,0
SMT. RACHNA BANERJEE,TMC,Diamond Harbour,1,1,0
DR. SHARMILA SARKAR,TMC,Bardhaman Purba (SC),1,1,0
SHRI AASHTIKAR PATIL NAGESH BAPURAO,Shiv Sena,Hingoli,1,1,0
SHRI KAMAKHYA PRASAD TASA,BJP,Jorhat,1,1,0
SHRI ARUN GOVIL,BJP,Meerut,1,1,0
SHRI N K PREMACHANDRAN,Regional,Kollam,1,1,0
DR. KALANIDHI VEERASWAMY,DMK,Chennai North,1,1,0
DR. GANAPATHY RAJKUMAR P,BJP,Inner Manipur,1,1,0
SHRI G KUMAR NAIK,INC,Raichur (ST),1,1,0
SHRI E TUKARAM,INC,Bellary (ST),1,1,0
SHRI NAVEEN JINDAL,BJP,Kurukshetra,1,1,0
SHRI V K SREEKANDAN,INC,Palakkad,1,1,0
SHRI MOHMAD HANEEFA,Independent,Ladakh,1,1,0
SHRI SUKHJINDER SINGH RANDHAWA,INC,Gurdaspur,1,1,0
SHRI ASADUDDIN OWAISI,Regional,Hyderabad,1,1,0
SHRI BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena,Shirdi (SC),1,1,0
DR. RANI SRIKUMAR,DMK,Tenkasi (SC),1,1,0
SMT. MALA ROY,TMC,Kolkata Dakshin,1,1,0
SMT. JUNE MALIAH,TMC,Medinipur,1,1,0
KANTILAL BHURIA,INC,Ratlam (ST),1,1,0
PRAJWAL REVANNA,Regional,Hassan,1,1,0
SHRINIWAS DADASAHEB PATIL,NCP,Satara,1,1,0
THIRUMAA VALAVAN THOL,Regional,Chidambaram (SC),1,1,0
"DINESH LAL ""NIRAHUA"" YADAV",JDU,Madhepura,1,1,0
DEEPAK (DEV) ADHIKARI,TMC,Ghatal,1,1,0
SUNIL KUMAR SONI,BJP,Raipur,1,1,0
