party_family,ministry_clean,n
TDP,External Affairs,3
TDP,Finance,2
TDP,"Fisheries, Animal Husbandry And Dairying",0
TDP,Food Processing Industries,1
TDP,Health,2
TDP,Home Affairs,2
TDP,I&B,3
TDP,Jal Shakti,0
TDP,Labour,0
TDP,Law And Justice,0
TDP,"Micro,Small And Medium Enterprises",0
TDP,Minority Affairs,0
TDP,New And Renewable Energy,1
TDP,Petroleum,0
TDP,Power,1
TDP,Railways,0
TDP,Road Transport,2
TDP,Rural Development,1
TDP,Science & Tech,0
TDP,Skill Development And Entrepreneurship,0
TDP,Social Justice,0
TDP,Textiles,0
TDP,Tourism,2
TDP,Tribal Affairs,1
TDP,Urban Development,0
TDP,"Water Resources, River Development And Ganaga Rejuvenation",0
TDP,Women & Child,1
TDP,Youth Affairs And Sports,1
