doc_party_session,party_family,lok_no,session_no,pos_hindutva,pos_econ_l,pos_rural
DMK_17_6,DMK,17,6,-0.618972981482464,0.3651229239488716,-0.15498222938502734
DMK_17_7,DMK,17,7,-0.5482232652933142,0.0264359266815258,0.03381569856110407
DMK_17_8,DMK,17,8,-0.4963430193193815,-0.11175248783651037,0.15840056655028778
DMK_17_9,DMK,17,9,0.9240212009549975,-0.6614510580693033,-0.4778502211808727
INC_16_10,INC,16,10,-0.10984783107789431,-0.1742570529423781,-0.14168249742866237
INC_16_11,INC,16,11,-0.12461597739823171,-0.07042451305514962,-0.07798603047397039
INC_16_12,INC,16,12,-0.16901066090658726,-0.026082558168966857,-0.01777176377893462
INC_16_13,INC,16,13,-0.16496172272684614,-0.14547903917347416,-0.28038221969568095
INC_16_14,INC,16,14,-0.11208543769543411,0.011279832482337632,-0.041840127454002986
INC_16_15,INC,16,15,-0.23599812070379744,-0.15176223206567913,-0.14026965143073142
INC_16_16,INC,16,16,-0.2169598580892761,-0.07834975660223487,0.047721405594675706
INC_16_17,INC,16,17,-0.29043998507945656,0.08900187700379913,0.01999824120455611
INC_16_5,INC,16,5,0.013964892413355842,-0.09039322750588656,-0.1048831873547074
INC_16_6,INC,16,6,-0.480489585293615,-0.03865014782125828,-0.12760635024820496
INC_16_7,INC,16,7,-0.09611561324173008,0.0054711038274279,-0.2869306146744918
INC_16_8,INC,16,8,-0.05468893504395738,0.11868208870564836,-0.05375393490058332
INC_16_9,INC,16,9,-0.16921063857268157,-0.10950651094895315,-0.19860492668314764
INC_17_1,INC,17,1,-0.2976923381013666,0.02828406915438257,0.3419680652524591
INC_17_10,INC,17,10,-0.12809995597511353,0.1939048399204941,0.0720884898327476
INC_17_11,INC,17,11,-0.3441082201712191,0.008058679676829042,-0.07401736198835324
INC_17_12,INC,17,12,0.06184657712830371,-0.03932646072507041,-0.3526046961514044
INC_17_14,INC,17,14,-0.14798721987342567,-0.05107131220080816,-0.20272372101530217
INC_17_15,INC,17,15,-0.01251244250999488,-0.14251223757424566,-0.2542576359806964
INC_17_2,INC,17,2,-0.20889760901785304,0.19226555725524555,-0.14431876368870497
INC_17_3,INC,17,3,-0.2801972067458911,-0.07601094237300943,-0.19899109803690804
INC_17_5,INC,17,5,-0.14708738384840336,-0.004098162656606199,-0.053399075099216264
INC_17_6,INC,17,6,-0.30626637305037785,-0.08686648270667185,-0.11333168854534725
INC_17_7,INC,17,7,-0.12618635413631532,-0.1158007068486056,-0.08706778603553633
INC_17_8,INC,17,8,-0.2305090704891048,0.062294030333460586,-0.0038810347083413506
INC_17_9,INC,17,9,-0.14919065211132307,0.0030254447368523937,0.08240926627347854
Independent_17_1,Independent,17,1,0.28183129251326494,0.23980291787142524,-0.7818768577142986
Independent_17_10,Independent,17,10,-0.5991066661491605,-0.004321063413742101,-0.4288029347959429
Independent_17_3,Independent,17,3,0.8746538540295165,-0.6837259868341246,-1.1060417613125069
Independent_17_8,Independent,17,8,-0.2979635898656463,0.5223698312209448,0.28304406331900667
Independent_17_9,Independent,17,9,0.7000614084342175,-0.26988373834173507,-0.728589020638887
JDU_17_1,JDU,17,1,0.33687810442795374,0.1832256749318404,0.14032335998650866
JDU_17_10,JDU,17,10,-0.08825841364604357,-0.46021723695030614,0.19754789701885414
JDU_17_11,JDU,17,11,0.22369460465346547,0.3532340186168616,0.09562119260978624
JDU_17_12,JDU,17,12,0.36910998814748563,0.3477596490277812,0.2115208879505906
JDU_17_14,JDU,17,14,0.2227771785363205,0.2906622561784736,0.31510168997949006
JDU_17_15,JDU,17,15,0.6011083284027932,0.2347216672630225,0.30166250196697064
JDU_17_2,JDU,17,2,-0.12057682889090147,0.17474929009286175,0.11008127001721922
JDU_17_3,JDU,17,3,0.1406607000150404,0.4651883370091383,0.2803818796519715
JDU_17_5,JDU,17,5,0.08221129300336653,0.1443916758475776,1.1741142350278508
JDU_17_6,JDU,17,6,0.09078084193365553,0.43531102901065805,0.2795566973393367
JDU_17_7,JDU,17,7,0.34502748028283386,0.46480008653294325,-0.0012666122504817357
JDU_17_8,JDU,17,8,0.059265398916594755,0.17872747503982717,0.057324446859795465
JDU_17_9,JDU,17,9,0.1953818313558814,0.03134655331632508,-0.21470426056636094
Left_16_10,Left,16,10,-0.6619338695603559,0.542389359257603,0.004222989083035617
Left_16_11,Left,16,11,-0.191325317685854,0.17676525142465846,0.4215093171538073
Left_16_12,Left,16,12,0.4262412928892359,-0.321693397998889,-0.5894022790963639
Left_16_13,Left,16,13,-0.27142775922897044,0.4146504440335837,1.025576681208186
Left_16_14,Left,16,14,-0.5681082493816636,-0.2794892151651769,-0.08040686532591637
Left_16_15,Left,16,15,-0.4079041035475825,-0.2877873023728592,-0.026941214134131607
Left_16_16,Left,16,16,0.04435401396079733,0.23522663314387401,0.5465920487595999
Left_16_17,Left,16,17,-0.15026533529230474,0.14974849180128227,0.18795161960800968
Left_16_5,Left,16,5,0.1268642503954675,0.008437072324234064,0.12339044544390648
Left_16_6,Left,16,6,-0.30846146070731606,-0.10885196966921942,0.011445714647532712
Left_16_7,Left,16,7,0.3275122616505127,-1.0760336390372025,-0.8628353952430184
Left_16_8,Left,16,8,-0.052944896611007805,-0.2660061345136576,-0.3986377906714729
Left_16_9,Left,16,9,-0.2939060464083638,-0.24470121372952425,0.14437993991116368
Left_17_10,Left,17,10,-0.9073643604764456,-0.9624286790044093,0.03688192993915802
Left_17_11,Left,17,11,-0.2857790059400107,0.023856311407455838,-0.328344704363837
Left_17_14,Left,17,14,-0.2943989665073501,-0.3853653343814167,-0.7405499986099892
Left_17_15,Left,17,15,-0.9358716796966223,-0.49117416063562386,0.17039031584223982
Left_17_2,Left,17,2,-0.4116227861890262,-0.3550742553468207,-0.45637022814811945
Left_17_8,Left,17,8,-0.7160092517079175,0.1497070994184758,-0.3029789737805811
RJD_16_10,RJD,16,10,0.4937832749667762,0.050679354763394434,-0.047471787534483105
RJD_16_11,RJD,16,11,-0.007762680584915985,-0.5449951623325282,-0.47478060726900767
RJD_16_12,RJD,16,12,0.3950538515565262,0.04626903305857201,-0.326943703315677
RJD_16_13,RJD,16,13,-0.2952583311884065,0.29727343065725187,0.04778731881199923
RJD_16_15,RJD,16,15,0.11717660997287872,0.12488174876643218,-0.017615461447914798
RJD_16_16,RJD,16,16,-0.2358109703228383,0.6896732486621108,0.22657355012229638
RJD_16_5,RJD,16,5,-0.11383598559025951,0.16269557754739003,0.019665696724904588
RJD_16_6,RJD,16,6,-0.037651063033927866,0.08681545960446706,0.3036478962996058
RJD_16_7,RJD,16,7,-0.4073910117292879,0.3988868921922333,-0.02605227018080983
RJD_16_8,RJD,16,8,-0.5701742137042851,-0.041188925988142666,-0.4091083563139494
RJD_16_9,RJD,16,9,-0.2003056214917155,0.4455031735050674,0.49318214098089896
Regional_16_10,Regional,16,10,-0.23397839009336718,0.07364414360385882,-0.09413724023087906
Regional_16_11,Regional,16,11,-0.13991578374246239,-0.09282812638174687,-0.029553672188586403
Regional_16_12,Regional,16,12,-0.3712340128696813,-0.27442286615321176,-0.08406264940006528
