id,lok_no,session_no,party_family,ministry,sent_neg,sent_pos,sent_neu,sent_compound,sent_label
LS16-S17-STARRED-20,16,17,INC,PETROLEUM AND NATURAL GAS,0.0115,0.117,0.8714999999999999,0.29645,positive
LS16-S17-STARRED-18,16,17,Regional,PETROLEUM AND NATURAL GAS,0.106,0.05,0.844,-0.8507,adversarial
LS16-S17-STARRED-17,16,17,BJP,TOURISM,0.0,0.032,0.968,0.36345,positive
LS16-S17-STARRED-16,16,17,TDP,LABOUR AND EMPLOYMENT,0.039,0.066,0.895,0.33525,positive
LS16-S17-STARRED-15,16,17,BJP,HUMAN RESOURCE DEVELOPMENT,0.031,0.029,0.939,-0.0516,adversarial
LS16-S17-STARRED-11,16,17,BJP,TRIBAL AFFAIRS,0.0,0.067,0.933,0.7351,positive
LS16-S17-STARRED-9,16,17,Shiv Sena,HUMAN RESOURCE DEVELOPMENT,0.023,0.028,0.949,0.1531,positive
LS16-S17-STARRED-8,16,17,BJP,COMMERCE AND INDUSTRY,0.048999999999999995,0.016999999999999998,0.934,0.07806666666666666,positive
LS16-S17-STARRED-7,16,17,BJP,TOURISM,0.0,0.085,0.915,0.6705,positive
LS16-S17-STARRED-6,16,17,Regional,CULTURE,0.0,0.089,0.911,0.8658,positive
LS16-S17-STARRED-4,16,17,SP,HUMAN RESOURCE DEVELOPMENT,0.035,0.042,0.923,0.296,positive
LS16-S17-STARRED-3,16,17,Shiv Sena,PETROLEUM AND NATURAL GAS,0.057,0.042,0.901,-0.0688,adversarial
LS16-S17-STARRED-2,16,17,Regional,COMMERCE AND INDUSTRY,0.048999999999999995,0.042333333333333334,0.9086666666666666,0.16646666666666665,positive
LS17-S1-STARRED-496,17,1,BJP,HEALTH AND FAMILY WELFARE,0.017,0.047,0.936,0.529,positive
LS17-S1-STARRED-494,17,1,BJP,HEALTH AND FAMILY WELFARE,0.0,0.0515,0.9485,0.4201,positive
LS17-S1-STARRED-492,17,1,JDU,HEALTH AND FAMILY WELFARE,0.0145,0.0335,0.952,0.26335,positive
LS17-S1-STARRED-491,17,1,BJP,HEALTH AND FAMILY WELFARE,0.0115,0.074,0.9145,0.4768,positive
LS17-S1-STARRED-490,17,1,Regional,HEALTH AND FAMILY WELFARE,0.0,0.094,0.906,0.875,positive
LS17-S1-STARRED-488,17,1,BJP,INFORMATION AND BROADCASTING,0.0865,0.027,0.8865,0.11195,positive
LS17-S1-STARRED-487,17,1,INC,"ENVIRONMENT,  FORESTS AND CLIMATE CHANGE",0.0,0.103,0.897,0.6486,positive
LS17-S1-STARRED-486,17,1,Regional,"ENVIRONMENT,  FORESTS AND CLIMATE CHANGE",0.057,0.089,0.854,0.1779,positive
LS17-S1-STARRED-483,17,1,BJP,HEALTH AND FAMILY WELFARE,0.0,0.132,0.868,0.861,positive
LS17-S1-STARRED-481,17,1,BJP,"ENVIRONMENT,  FORESTS AND CLIMATE CHANGE",0.0,0.069,0.931,0.7351,positive
LS17-S1-STARRED-479,17,1,INC,JAL SHAKTI,0.066,0.067,0.867,0.0258,neutral
LS17-S1-STARRED-478,17,1,BJP,SHIPPING,0.0,0.018,0.982,0.2202,positive
LS17-S1-STARRED-477,17,1,BJP,MINORITY AFFAIRS,0.0,0.146,0.854,0.8834,positive
LS17-S1-STARRED-475,17,1,BJP,HOUSING AND URBAN AFFAIRS,0.24,0.017666666666666667,0.7423333333333334,0.01143333333333337,neutral
LS17-S1-STARRED-472,17,1,BJP,ROAD TRANSPORT AND HIGHWAYS,0.0,0.071,0.929,0.7003,positive
LS17-S1-STARRED-471,17,1,INC,YOUTH AFFAIRS AND SPORTS,0.0,0.057,0.943,0.5267,positive
LS17-S1-STARRED-469,17,1,BJP,HOUSING AND URBAN AFFAIRS,0.14150000000000001,0.04675,0.8117500000000001,0.15240000000000004,positive
LS17-S1-STARRED-468,17,1,BJP,"MICRO,SMALL AND MEDIUM ENTERPRISES",0.0,0.07,0.93,0.8555,positive
LS17-S1-STARRED-467,17,1,BJP,POWER,0.068,0.035,0.897,-0.2023,adversarial
LS17-S1-STARRED-464,17,1,INC,"MICRO,SMALL AND MEDIUM ENTERPRISES",0.036333333333333336,0.02666666666666667,0.9369999999999999,0.20403333333333337,positive
LS17-S1-STARRED-463,17,1,BJP,YOUTH AFFAIRS AND SPORTS,0.0,0.0475,0.9525,0.3454,positive
LS17-S1-STARRED-462,17,1,BSP,MINORITY AFFAIRS,0.0,0.046,0.954,0.4939,positive
